A,R,S,H,B,W,F
6587,1172,32201,5498,10451,272,0
2636,393,13261,1023,9131,24,2443
6062,361,2587,0,828,57,468
21315,0,0,0,0,0,0
12014,1107,46147,5859,32971,0,6720
6020,182,7499,0,3025,17,192
23745,31,27459,1252,0,0,0
9225,1483,31639,3141,7599,403,666
1801,265,728,153,692,0,250
9217,0,12430,0,414,0,0
6104,791,0,0,0,0,0
7100,398,20145,2477,3321,48,2786
4199,139,23511,2178,5315,33,0
4694,274,8542,576,6199,48,0
447,26,827,0,34,8,0
6597,0,22441,3258,8892,0,5704
14682,3369,73751,0,34477,0,5962
12148,1515,0,0,0,12,0
6821,0,31025,0,0,0,0
21518,460,7812,476,0,22,713
5383,114,16473,2169,5121,17,1201
151,15,88,10,61,4,10
4592,601,7368,855,0,153,125
0,0,0,0,0,0,0
7915,744,61444,1473,34099,0,3425
7241,552,51628,10466,52347,206,17553
10361,1900,7121,1050,1715,502,864
12695,0,31670,3128,11571,0,2569
2610,213,1975,223,690,0,364
7824,0,0,0,0,0,0
12907,621,0,0,0,49,0
0,0,0,0,0,0,0
1064,0,10835,1279,2447,0,434
16918,23,0,0,0,1,764
591,73,0,0,0,5,19
3485,484,811,65,0,82,0
8610,1085,16963,1322,2139,0,715
0,0,0,0,0,0,0
3716,107,5074,1328,2340,8,1071
5311,62,0,0,0,21,0
13718,0,77129,4879,29371,0,3570
0,0,0,0,0,0,0
9164,2296,3682,863,1365,133,1073
11886,2898,93328,22325,80179,0,36043
0,0,0,0,0,0,0
0,0,0,0,0,0,0
17313,269,58725,6138,2380,58,1762
0,0,0,0,0,0,0
0,0,0,0,0,0,0
18255,0,117360,17484,29685,0,0
9055,409,24201,3081,12621,102,1746
2726,288,3823,0,1323,18,676
1612,240,39,10,5,90,221
2542,152,23798,0,12116,1,932
15459,554,51474,4720,14940,142,3047
0,0,0,0,0,0,0
11178,844,39134,309,11877,126,5972
11880,0,97695,4428,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
544,98,2371,0,1195,19,207
5372,0,19422,2188,14626,0,3430
19311,3422,53612,9233,15679,440,9668
7563,0,40022,4586,27194,0,2529
6112,991,48757,8756,18786,157,0
5941,658,11949,0,0,193,197
10478,751,69030,6366,0,0,4462
13035,655,58245,1511,10334,61,2048
23649,2587,0,0,62,236,876
2270,219,2364,445,1377,10,500
5793,333,6410,1608,0,74,421
21543,311,0,0,0,74,0
5062,807,36845,2585,21575,142,0
14993,1161,92409,7213,20472,160,5675
12062,1544,24113,1053,16843,317,388
17181,1386,80344,12285,36171,0,11317
12846,0,72043,8314,38211,0,0
6378,890,2247,48,926,0,201
9724,1624,0,2911,0,0,1069
7390,0,45210,2389,29861,0,3943
6494,1374,50497,7025,11403,263,6046
17479,1422,126770,43732,0,82,6074
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
22818,0,2240,391,118,0,0
6514,598,14115,1117,6411,65,943
8198,0,38195,4513,2939,0,2004
17561,0,0,0,0,0,0
0,0,0,0,0,0,0
3951,151,19621,1335,0,0,0
13599,0,61510,4605,22065,0,6155
0,0,0,0,0,0,0
13976,727,45105,926,989,84,496
0,0,0,0,0,0,0
0,0,0,0,0,0,0
4621,705,37918,5279,0,57,453
3409,0,22245,0,4717,0,330
3115,288,12943,747,3583,32,519
2864,263,15701,940,0,10,0
962,70,0,0,0,13,0
1785,149,12391,539,2288,34,287
0,0,0,0,0,0,0
5044,381,0,0,0,0,0
12474,1029,57884,1370,9008,158,98
15665,2652,119196,30128,57669,218,0
1166,232,0,0,0,61,45
12661,80,51633,8230,26942,21,0
0,0,0,0,0,0,0
5247,435,9651,703,0,92,104
13363,2031,87229,15140,41895,0,6516
6094,60,14049,2097,4533,0,870
9564,154,156,44,46,8,0
16600,2031,46949,0,30481,225,0
20684,1765,51281,7513,7453,0,5027
10739,237,22618,305,0,45,17
135,15,0,0,0,3,0
12559,88,19134,3762,3437,9,0
19659,4012,1256,21,629,821,1743
10346,1102,4291,388,546,210,2008
6255,183,38748,6328,11065,37,4022
7350,140,0,0,0,36,0
6044,516,24432,4191,1942,106,2931
7772,693,0,0,0,31,0
10300,0,89479,6188,91903,0,7117
2598,505,1282,119,690,150,159
22262,0,80332,3383,0,0,0
8178,284,7090,1444,2968,59,1453
3979,646,8069,514,921,3,704
22051,1923,0,2057,0,305,0
0,0,0,0,0,0,0
5610,0,0,0,0,0,0
2003,170,0,0,0,12,25
2582,599,10773,917,2143,14,349
3426,635,13543,1282,360,32,1696
706,156,0,97,342,11,168
7441,992,44876,2637,14022,84,0
0,0,0,0,0,0,0
4744,274,0,0,0,22,0
1754,368,3238,497,901,0,1005
12381,2069,0,0,0,277,611
12509,2034,48222,0,3714,269,1480
28106,4780,0,0,0,0,0
5562,406,6982,1667,0,0,344
9954,896,47289,6498,7615,133,8313
0,0,0,0,0,0,0
6807,738,12113,0,3493,27,326
1090,169,0,0,0,35,75
5248,498,10557,2336,3686,70,1985
13958,1486,0,0,0,51,0
6659,303,41270,2952,8709,9,936
12593,244,8155,1441,1986,51,202
13949,959,17203,0,3038,0,517
3787,0,12161,2005,5138,0,853
9159,512,29288,0,0,193,0
3254,539,11831,1310,0,111,586
2989,305,5078,0,0,0,36
5510,809,15183,2014,6130,43,2484
485,10,0,5,8,1,16
364,60,1462,0,665,9,167
5168,499,11516,0,2750,38,0
0,0,0,0,0,0,0
12499,1377,0,0,0,279,0
11784,0,2659,484,1621,0,201
1689,154,1754,28,0,9,84
4588,449,0,0,0,1,0
4442,476,12203,1493,7032,73,1888
1066,105,4455,491,2104,11,285
0,0,0,0,0,0,0
5728,735,22429,1240,6090,133,0
35087,4431,160446,20586,38647,730,19889
10611,1588,0,0,0,0,0
0,0,0,0,0,0,0
6479,741,18490,370,7243,34,35
6016,484,0,0,0,181,0
9533,0,37702,3454,7282,0,0
9852,619,30122,0,7809,0,1356
7352,175,38510,3742,15052,0,0
6310,1437,17989,2771,0,0,455
0,0,0,0,0,0,0
7301,696,4938,712,411,201,620
22150,3979,53386,1717,24633,189,335
9289,831,12201,1489,1833,200,1433
0,0,0,0,0,0,0
8919,935,36525,2956,12922,172,2425
3615,55,18451,0,6292,6,68
20688,2195,23850,6498,9236,0,8147
4079,484,0,0,0,21,82
6871,448,19336,1048,0,88,108
140,8,404,58,167,0,31
589,112,3996,390,1458,11,86
8755,1958,0,0,0,675,150
7367,628,47231,2872,15840,0,2124
15471,143,68235,5822,3376,38,3747
3812,341,19461,3027,2737,45,734
8239,184,22829,587,7079,0,600
12582,0,0,0,0,0,0
9264,1059,43505,6020,0,0,3183
11505,1965,21480,1768,0,127,1376
0,0,0,0,0,0,0
8712,1113,0,0,2014,367,104
2915,244,13642,1249,2951,17,284
1658,349,4875,780,3588,36,1310
15149,892,160244,20397,21513,169,0
23984,4449,93224,1100,39518,528,0
3517,0,13107,1128,8058,0,1986
4879,1159,22781,4920,0,85,0
4186,92,21962,4326,5017,22,1263
38,4,291,44,0,1,23
12824,145,0,0,0,37,0
3652,358,0,0,0,66,37
18986,588,120428,4513,0,0,2157
14918,691,70797,2894,27270,0,0
5230,292,30875,3309,2303,0,1943
2163,213,1310,179,219,44,0
11057,682,0,0,0,19,0
19657,0,6305,538,2493,0,0
0,0,0,0,0,0,0
5881,95,33231,3321,2683,23,0
16789,3168,123988,0,31095,777,944
3425,279,0,0,0,66,0
10165,1634,0,0,1148,81,770
0,0,0,0,0,0,0
17088,0,18136,2227,12221,0,379
9222,0,0,0,0,0,0
606,54,1759,479,323,2,154
9729,191,47110,0,24889,0,3925
9324,1504,40211,4577,0,145,1367
1747,105,13827,3003,2217,27,2434
20952,512,74915,9027,18488,52,9648
8172,0,55354,10968,19616,0,0
19111,2405,36046,4729,15188,0,5590
10540,1455,34401,3239,7937,42,0
5578,476,1481,74,128,121,265
20413,0,137445,13039,6483,0,5422
3301,0,0,0,0,0,0
2953,365,21662,0,0,32,0
0,0,0,0,0,0,0
2574,171,1741,0,780,2,162
10408,1294,55120,10080,37838,399,7830
1534,14,0,0,147,3,0
0,0,0,0,0,0,0
19600,1530,117409,2389,45413,0,8695
14363,1604,114911,7603,26871,286,6918
11008,0,81234,13467,22808,0,0
5479,229,40745,3091,24075,69,5335
5634,610,24553,823,2330,0,575
15250,2429,49623,11142,12552,492,5794
15874,0,0,0,0,0,0
4718,695,43127,3386,13455,99,2534
0,0,0,0,0,0,0
10497,911,3479,746,996,79,0
0,0,0,0,0,0,0
24657,2380,41211,6207,512,201,3449
3441,364,0,0,0,66,408
0,0,0,0,0,0,0
10548,2603,62386,10621,642,170,2504
4587,17,0,0,0,4,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
5701,562,43055,3343,14365,82,2807
3062,109,2709,616,1104,13,634
1529,131,4057,344,2399,34,770
0,0,0,0,0,0,0
10023,1646,8377,255,0,256,916
14219,457,26905,5148,10565,70,0
1008,35,1258,143,0,8,23
12792,3125,58078,12037,0,338,0
455,22,0,0,0,0,0
25177,6464,93863,14017,36061,429,16511
3020,513,0,0,0,107,22
6448,526,9965,2569,4069,0,1409
12696,708,52198,3594,3221,167,1268
26917,3493,48907,3165,17511,16,612
4830,665,1720,0,331,140,803
5321,177,0,0,0,7,0
5873,388,12029,0,0,33,0
0,0,0,0,0,0,0
5532,245,1304,0,135,62,183
9798,1105,46837,12234,13740,0,4787
3486,0,14062,2626,2917,1,1122
11027,2569,49906,5013,22456,425,8165
0,0,0,0,0,0,0
9835,956,67734,61,18586,88,3078
6533,162,5916,682,0,54,63
4256,396,18538,1096,0,114,985
6976,956,4513,0,1443,159,197
12380,1678,36323,2582,8070,287,422
9939,0,38741,5513,2531,0,0
5658,351,33827,3233,8501,20,3191
0,0,0,0,0,0,0
17573,2378,30782,691,19296,0,6001
5273,0,13516,2636,5055,0,153
20583,768,67381,792,0,1,190
417,40,1922,189,997,3,159
10483,1973,40917,0,0,187,0
2697,223,7360,108,4212,0,1528
0,0,0,0,0,0,0
4104,535,2967,494,258,132,472
8315,531,33530,3331,15137,29,6671
7000,882,34081,10237,4670,0,7529
973,126,0,0,0,21,70
0,0,0,0,0,0,0
6960,206,26368,2012,0,4,0
1285,206,1047,225,235,0,209
6488,915,43855,175,23790,39,1884
79,15,4,0,1,2,3
15411,1434,0,197,0,214,0
527,17,3236,538,1094,0,485
7710,1619,0,0,0,405,283
9485,2224,33514,0,17678,0,4960
4100,393,0,0,0,33,80
15043,2709,78279,0,23855,50,0
1957,281,0,0,0,9,53
324,0,1489,166,626,0,0
5444,0,24230,3325,4822,3,368
1344,150,0,0,13,77,82
0,0,0,0,0,0,0
6300,448,49377,0,14933,104,792
12234,569,71119,10508,20639,132,10298
26553,3112,67586,9564,0,1416,6586
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
11122,121,22740,2589,5105,3,586
24711,2528,13729,2073,3978,0,3407
6507,434,36798,6308,0,20,2169
18843,390,0,0,0,0,0
3523,444,8842,513,4712,18,549
17300,368,108637,0,23945,98,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
6426,999,25494,5380,827,82,1973
1139,81,1354,156,180,0,25
1133,236,266,10,68,50,236
1095,54,0,0,6,9,24
9178,0,45168,5676,0,0,760
9125,562,37864,3172,0,69,428
11421,486,85079,8916,2319,118,6262
10379,374,3683,854,1833,79,586
0,0,0,0,0,0,0
0,0,0,0,0,0,0
8925,0,81182,6734,1459,0,2932
18460,4100,98676,25805,26841,247,30176
3788,514,16132,2527,9546,53,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
13051,3401,98889,15579,66975,0,10371
6917,608,40426,5876,34797,116,4598
13283,1707,0,2542,0,241,0
2206,0,11312,0,0,0,0
1517,349,0,70,0,0,0
7901,1162,25401,3164,0,357,920
9174,779,77782,0,11140,105,0
4727,134,14618,1660,8701,24,696
1564,18,2012,368,626,4,125
3594,283,8776,484,1053,0,0
958,138,0,0,0,7,51
5521,600,41518,12484,5688,1,8326
13690,2269,0,0,0,0,1776
1529,356,9474,1240,0,88,152
4272,449,0,0,0,37,68
9375,0,39394,8274,15171,0,2753
2887,352,16284,294,2531,45,214
0,0,0,0,0,0,0
11049,812,36293,740,10824,71,627
4616,269,37413,949,8653,64,602
2826,18,13416,0,4284,3,191
0,0,0,0,0,0,0
0,0,0,0,0,0,0
16507,0,74312,14364,60311,0,13222
9398,384,5243,21,0,74,0
11754,126,3919,857,560,19,565
19786,612,77461,3824,0,23,1840
9110,887,45592,11173,11888,117,7022
17170,2678,23274,0,2802,680,1495
16128,3158,16317,1971,968,0,2072
12439,1250,16252,1586,2327,140,4796
0,0,0,0,0,0,0
26308,3042,159745,0,57591,1324,6491
15473,2008,152930,26346,16721,18,8333
10546,312,33427,3106,9378,56,2780
20475,1273,168655,14738,63198,206,22108
24488,0,51439,0,10017,0,0
0,0,0,0,0,0,0
14596,1114,67540,5783,19075,77,3112
9993,871,61648,6092,11154,182,8201
7319,1193,32669,3028,5276,399,0
1676,315,0,290,952,62,89
13192,2502,0,0,0,84,0
5420,1152,36385,1756,16949,196,5695
1127,0,4995,636,1924,0,304
0,0,0,0,0,0,0
9884,540,42078,8389,10633,1,7681
14546,1591,11290,36,7517,378,1324
1168,174,3618,365,961,30,396
14299,0,69860,466,14431,18,2726
7556,0,10678,1966,2222,0,389
5292,189,9680,0,1862,73,57
614,62,0,0,0,5,24
9199,2400,25063,4379,3768,525,0
16210,0,19902,3230,3250,0,728
7826,476,40121,0,18096,43,1460
9458,211,39091,0,1354,39,0
0,0,0,0,0,0,0
7948,745,84,5,63,222,87
6880,1129,0,1406,0,370,490
4763,434,32785,1930,3924,0,1815
19622,2237,0,0,0,353,560
13754,0,102300,12268,32231,1,3517
8597,685,0,972,0,0,100
0,0,0,0,0,0,0
18303,1444,149108,19365,47362,291,7590
10930,545,27820,0,8085,79,0
11990,318,8601,1147,1764,14,1176
0,0,0,0,0,0,0
15179,2649,4775,0,1668,559,661
4753,209,29405,3341,12929,0,3688
15239,2500,0,1161,0,333,0
14104,756,75647,19307,32525,148,0
0,0,0,0,0,0,0
9560,1200,52860,5064,16395,89,4975
4271,372,36229,0,8702,47,169
8410,1049,0,460,0,205,737
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
13076,0,102978,6521,16342,65,814
0,0,0,0,0,0,0
13432,2311,0,0,2162,361,0
1345,171,8967,2339,140,25,1181
1092,163,4620,343,1340,11,449
2814,0,10529,1702,4214,0,439
15733,2370,114154,20015,38867,34,21449
5653,1199,16655,0,8435,0,2707
17180,2173,131947,15954,90552,137,26133
0,0,0,0,0,0,0
15596,2814,70492,10010,46131,322,10808
10249,1173,43348,3666,15907,111,1298
12153,633,119320,0,104090,0,11245
8486,1488,8296,0,4603,0,1096
3591,244,4656,951,713,54,190
5753,422,43655,0,26384,128,2339
9522,3149,59028,10540,21622,525,3599
16011,1513,224882,10563,0,138,1482
5938,923,5421,475,282,168,240
0,0,0,0,0,0,0
7232,27,33604,2590,13988,4,1660
1382,269,6995,1455,1165,13,249
17086,0,174507,24412,48378,0,18380
3734,236,29605,3471,20683,20,1615
0,0,0,0,0,0,0
7225,1103,12096,887,4729,120,80
11748,564,27721,3731,19625,147,2471
11960,289,21585,620,6262,136,2045
9465,165,11355,1396,0,16,219
5125,352,5745,328,3080,76,765
18751,465,75225,8141,19743,75,3286
6453,299,5706,756,604,10,0
9578,913,5327,0,2166,173,382
0,0,0,0,0,0,0
1236,330,61,8,6,21,138
15258,2156,0,0,0,459,0
6287,21,23998,0,8642,2,365
7314,385,25279,0,0,77,0
5943,0,16717,2830,0,0,0
5943,317,33454,4960,4355,91,1996
2071,0,0,0,0,0,0
6352,1068,19849,0,6459,65,38
3430,603,6027,429,1297,152,481
14453,2252,27686,128,15723,490,2942
30065,0,0,947,0,0,0
0,0,0,0,0,0,0
25252,1416,18982,434,5981,4,1043
0,0,0,0,0,0,0
4805,619,27790,0,14658,128,955
24143,0,151888,9861,91297,150,6650
8995,549,88276,8349,26411,59,7806
12105,1641,57043,3304,7723,411,219
9084,1508,50834,8095,28661,189,7371
14694,1719,9977,363,2263,460,215
16494,456,0,0,0,14,354
0,0,0,0,0,0,0
10753,2234,12460,0,1786,490,0
0,0,0,0,0,0,0
11115,1188,44167,3191,15159,0,4291
0,0,0,0,0,0,0
0,0,0,0,0,0,0
12464,1483,0,935,2672,113,441
7327,196,39028,3582,3292,4,0
2998,68,20787,4093,10534,1,1640
12172,1421,0,0,0,170,0
4046,742,2898,221,2,71,79
16247,961,0,0,0,110,0
10783,1388,23873,6193,23035,342,6614
1607,0,8004,1227,592,2,0
10986,1441,58055,5835,27256,151,8070
3404,298,25789,1988,3831,13,1672
11487,0,0,52,0,0,0
8532,48,626,114,13,1,140
22501,943,150508,17804,0,0,11542
4070,225,0,0,0,12,8
1074,0,9336,0,4071,4,258
17263,2432,68934,0,58037,0,0
12945,1278,1952,250,562,355,745
6374,1246,4963,227,1275,0,1354
0,0,0,0,0,0,0
7835,528,40040,10443,9969,72,0
3456,0,11193,919,1865,1,0
8207,1438,36894,4050,10525,350,4757
10468,88,18119,692,4787,11,1659
8498,1606,93992,3730,0,207,612
16863,755,0,0,0,43,0
0,0,0,0,0,0,0
4481,132,9956,1834,4674,20,3202
5143,32,744,102,484,9,50
5552,383,0,0,0,75,0
15274,1749,6301,834,1288,396,116
0,0,0,0,0,0,0
13820,2750,34779,4064,408,777,6089
9806,624,8100,0,1805,87,675
10137,372,15325,559,4237,8,0
2718,32,5196,101,181,2,23
6201,1810,0,0,0,392,0
12277,743,5313,362,798,18,137
6685,1595,14162,898,2480,258,960
9245,1369,11154,0,633,232,1032
0,0,0,0,0,0,0
14565,1770,23772,4553,15533,502,5169
6993,337,28352,2494,0,72,441
11175,995,71253,1926,16607,127,5517
10796,1249,24227,4654,867,220,187
4954,348,33830,8591,0,31,0
14136,1668,38761,3574,11118,0,4672
2313,178,0,14,0,0,82
0,0,0,0,0,0,0
3401,401,19785,1302,7017,54,0
11139,0,1254,89,501,0,82
1444,0,10800,629,7104,16,1989
5377,0,38470,4314,0,0,72
10235,108,36792,0,12865,35,0
12854,1345,31499,741,12105,0,0
6043,1003,989,137,81,256,779
13781,1794,47550,4838,23060,532,2804
7196,0,14685,1002,5551,0,0
0,0,0,0,0,0,0
13267,0,27465,6310,8209,0,5047
13275,1130,15996,276,4903,219,974
2318,80,12540,1663,3280,25,2114
0,0,0,0,0,0,0
9370,0,49070,8193,18598,0,0
3432,467,1054,95,311,0,0
8947,539,62144,5140,6545,81,0
3973,323,6753,182,2197,32,421
13576,825,100503,357,3916,81,0
11475,836,38811,389,9491,0,2103
3714,87,0,0,91,7,30
7050,468,30573,4483,12894,48,0
17280,2282,104302,17204,0,876,3491
11691,0,63160,3520,6792,0,0
0,0,0,0,0,0,0
9019,1061,0,0,0,88,68
13678,395,49344,5380,1111,53,1452
7100,1151,0,792,0,198,139
8491,999,25931,2853,10070,299,2108
0,0,0,0,0,0,0
10600,2063,60028,11397,19955,154,9180
13706,2070,20582,428,10747,164,2842
0,0,0,0,0,0,0
942,131,9307,912,848,17,523
23307,0,163243,33435,14802,0,9546
2913,406,11756,522,0,112,0
2398,120,3672,152,800,11,127
7411,852,14555,0,3647,51,442
9096,0,2294,350,990,0,0
5055,0,0,0,0,0,71
13919,945,938,18,0,89,1146
2506,0,7041,1052,4758,14,0
7860,1515,47149,1395,10163,316,1783
3091,442,7292,1175,3375,81,0
10414,590,0,4528,0,74,0
11094,0,20025,312,5921,0,1242
18390,2192,108840,0,51167,703,5805
11892,1238,0,0,0,34,430
5677,810,11471,562,990,110,385
14903,2902,63112,3683,1414,0,4548
5786,221,0,0,0,26,0
0,0,0,0,0,0,0
3395,172,16057,1783,3377,18,1551
0,0,0,0,0,0,0
10261,157,12568,1182,0,9,431
2394,445,8729,0,2574,48,102
9071,1514,17080,2772,8352,204,2713
0,0,0,0,0,0,0
15675,0,103261,7574,13945,0,3073
22212,5304,190381,0,195062,1535,15938
13366,973,0,0,0,264,0
4385,139,14216,3948,2587,23,747
0,0,0,0,0,0,0
5689,179,39572,3446,3553,7,121
8721,0,2623,572,803,0,150
11863,575,90296,0,11358,151,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
24135,1182,70055,4569,6709,322,1182
5618,772,11477,781,4660,35,526
11538,444,40109,798,0,73,0
4482,0,18413,3414,0,0,718
22805,2963,186551,0,21506,400,0
14756,1371,204,17,33,424,1000
507,86,0,0,0,15,1
3073,168,0,750,0,9,354
16172,1582,67340,0,0,0,0
0,0,0,0,0,0,0
2679,220,8700,1431,666,20,167
5537,420,21571,0,6235,118,142
21527,180,7340,1058,2281,28,0
9247,1465,0,36,23,68,671
8436,237,18976,3774,0,11,874
21546,0,18822,1530,4068,0,443
12688,915,48931,5167,0,0,0
1886,380,541,1,274,10,460
16149,0,67388,0,39385,0,0
15513,1676,48160,0,40103,710,980
10239,447,79592,11737,8803,36,1525
4793,327,12359,1500,0,1,849
7317,670,34156,0,6302,74,1490
25460,1743,56888,4516,11884,26,4003
3717,170,2705,348,1496,17,0
22901,2259,87222,9453,36797,465,5557
7665,586,26345,2987,1100,167,1091
0,0,0,0,0,0,0
14851,1201,38054,0,0,163,0
4114,118,13056,1271,0,5,6
19594,1111,65034,8255,656,177,5368
550,33,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
9094,129,3210,578,1413,13,453
5410,547,6874,0,0,112,0
0,0,0,0,0,0,0
11826,492,33074,1373,5843,83,668
0,0,0,0,0,0,0
507,7,0,0,0,0,0
2291,230,14068,1959,6454,18,1740
246,0,1064,66,248,0,20
0,0,0,0,0,0,0
0,0,0,0,0,0,0
2804,453,5386,796,1641,121,665
6710,592,0,0,0,57,0
0,0,0,0,0,0,0
1194,118,2344,223,0,36,0
24880,5927,79645,5560,24779,0,11138
22648,2386,124048,2049,17014,402,5028
0,0,0,0,0,0,0
12820,0,60811,2759,0,0,0
11823,1056,25667,1817,6795,0,1739
6209,274,0,0,0,40,0
11146,102,0,0,0,0,0
17546,2518,180090,40098,131366,0,26712
0,0,0,0,0,0,0
18681,815,16296,1792,10026,40,2878
2871,368,6746,0,3345,10,953
14708,2733,41472,6759,11427,0,8747
14082,1177,66475,6823,43246,222,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
3602,610,17973,3923,4100,240,1551
11332,1122,12732,308,8240,201,1221
7996,102,63859,17825,16097,9,8107
10761,1312,0,0,0,371,0
7177,10,30482,3150,16520,0,1662
0,0,0,0,0,0,0
18071,1031,21977,4140,4154,75,227
15530,811,44653,11,9862,57,796
3473,646,0,0,0,0,144
8568,456,54586,10200,42009,22,8220
14207,1871,91258,6999,24726,0,8563
12408,231,0,0,0,46,0
18935,2553,120677,22149,16098,135,9547
0,0,0,0,0,0,0
0,0,0,0,0,0,0
5767,391,11463,1633,0,81,905
18622,984,0,0,0,209,49
7077,1556,35978,0,11987,424,2143
20217,0,96412,12317,13375,0,3794
8535,1073,8109,1641,2689,152,2863
0,0,0,0,0,0,0
15590,1830,0,0,0,165,0
17075,3269,63370,0,28484,1033,5457
5819,15,4352,0,0,0,0
21899,3000,66396,6597,47011,393,7063
9181,217,21206,21,4661,9,0
13807,1256,40435,4775,12064,377,69
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
16981,1263,29140,776,9017,133,1225
2151,436,0,0,0,75,159
6548,554,0,0,0,126,0
4135,138,125,0,0,6,129
10417,1971,100445,0,18214,720,1492
0,0,0,0,0,0,0
15940,1955,87290,7289,49719,207,18675
17955,1487,69146,6936,8747,215,4755
8514,664,0,0,0,0,1553
0,0,0,0,0,0,0
3831,0,7262,0,3896,0,69
12343,2224,55123,5960,9627,70,1571
15760,1060,90920,7342,58432,5,4432
4497,409,6226,802,1861,0,1227
6435,1453,18890,2787,0,137,1340
2284,301,4791,560,3874,0,0
0,0,0,0,0,0,0
7628,1183,7537,1006,3562,116,1691
7438,1221,67439,5592,12648,0,5715
14312,2270,34248,1305,15190,274,2340
2557,166,0,0,0,28,0
11518,920,0,0,0,0,1823
4290,719,22794,0,0,114,0
22301,0,0,0,0,0,0
0,0,0,0,0,0,0
3888,308,6641,1978,3774,0,1120
8360,0,38734,0,24178,0,0
9362,0,30933,466,5026,0,53
8401,1243,54258,0,20206,317,1623
19723,739,15240,1441,11032,66,1248
3762,613,0,0,0,114,0
0,0,0,0,0,0,0
1365,0,1003,89,94,9,0
0,0,0,0,0,0,0
7154,1360,37636,5241,10166,247,1004
0,0,0,0,0,0,0
0,0,0,0,0,0,0
11323,2406,0,0,0,451,16
15542,2427,82358,5719,23395,380,7144
19149,0,73164,0,11979,0,0
17314,0,51102,8291,12481,0,1259
7459,469,57384,7077,33237,95,5986
13426,0,48426,2234,12754,0,1706
14795,0,51006,10391,8865,0,2148
8479,795,45496,3684,14188,92,3333
7853,0,45836,0,16737,0,445
10036,223,3582,901,887,37,667
8234,32,0,0,0,7,0
377,23,1438,101,328,1,71
9429,0,44974,11510,16905,0,10336
1005,114,4544,412,1372,19,44
12874,1309,79754,13955,52045,354,9847
5626,874,0,0,0,220,653
19299,3384,43,2,17,159,1330
10385,1466,62341,11011,20674,227,4440
0,0,0,0,0,0,0
2995,152,6558,0,473,25,140
14158,0,14894,517,8293,22,1104
0,0,0,0,0,0,0
0,0,0,0,0,0,0
5446,0,32251,2194,1289,0,1425
6907,625,14945,398,0,79,422
3054,246,543,69,86,63,276
0,0,0,0,0,0,0
10613,2188,0,0,972,74,920
1232,112,12177,701,7684,7,84
8524,605,27276,0,0,29,0
1659,138,0,0,0,8,0
8283,217,57179,7442,13380,14,6588
10500,529,0,0,0,7,0
10869,0,34539,4783,11770,0,658
2595,527,13224,975,6293,22,784
11469,2375,13140,0,5176,609,0
11366,1443,78234,11626,20073,187,9661
0,0,0,0,0,0,0
13250,1319,58765,9427,300,256,0
11976,69,90033,8361,48199,16,0
5356,0,37590,0,9603,0,1345
12627,207,63095,2878,19128,40,1676
9033,125,4580,234,0,0,0
14841,159,0,0,0,30,9
17242,0,66684,8298,7009,0,5824
7563,571,35809,1149,15422,0,1439
7956,638,10584,1149,1173,213,0
2956,191,9693,542,0,0,53
0,0,0,0,0,0,0
7477,1138,20133,57,0,119,43
16053,1853,0,0,0,532,0
21829,1494,53769,2457,25287,115,2913
5568,333,26758,74,9655,15,1190
6945,1129,29935,2626,11099,323,3228
10072,1201,37332,2208,27578,220,298
16479,3022,107412,11920,44338,462,3411
11186,3222,0,0,1280,416,1343
2955,167,25292,3391,1670,0,3116
0,0,0,0,0,0,0
9546,0,56797,2777,31055,0,2334
10541,0,24185,5562,7772,0,1440
9874,1426,0,0,4260,274,0
164,11,0,0,0,1,0
22999,3209,0,0,0,333,0
15379,1342,87568,20739,22968,616,5769
9052,273,0,0,0,67,0
14937,3202,80316,0,18895,695,4114
11986,932,3202,0,1666,234,910
16202,912,98348,4915,25633,102,3726
0,0,0,0,0,0,0
3208,186,28217,7951,0,39,2542
7931,362,32062,0,5403,0,159
4913,0,20638,0,2853,0,645
6784,599,39287,211,5487,50,1230
9730,2094,54401,0,1111,96,376
8545,566,8709,1627,2164,0,1304
3532,242,21757,3418,5891,25,1261
12686,1149,0,0,0,73,0
9980,332,41030,1976,10196,81,2650
1509,42,14397,605,3930,9,1178
3394,116,14332,2334,4223,20,1553
3913,479,9009,2260,2345,83,788
0,0,0,0,0,0,0
6459,555,43682,0,11951,0,1887
12073,1128,41834,3271,2742,83,2190
11537,1954,18082,849,9772,733,4099
22028,5012,48149,5272,24081,0,11448
26524,3602,163241,16475,15716,643,3674
0,0,0,0,0,0,0
15097,933,81192,8865,0,102,0
